iter	R2	RMSE
524	0.937012689	0.8617859135
525	0.9370553856	0.8614937792
526	0.9370851522	0.8612900544
527	0.9371051575	0.8611531091
528	0.9371314553	0.8609730566
529	0.9371523175	0.8608301928
530	0.9371915187	0.8605616797
531	0.9372171554	0.8603860327
532	0.9372480551	0.8601742792
533	0.9372707836	0.8600184896
534	0.9372968999	0.8598394434
535	0.9373136589	0.8597245285
536	0.9373410773	0.8595364904
537	0.9373536597	0.8594501853
538	0.9373900981	0.8592001986
539	0.9374152039	0.8590279169
540	0.9374415048	0.8588473971
541	0.9374547372	0.8587565604
542	0.9374726384	0.8586336586
543	0.9374934324	0.8584908738
544	0.9375218076	0.858295993
545	0.9375445505	0.8581397632
546	0.9375622946	0.8580178524
547	0.9375793736	0.8579004949
548	0.9376090678	0.8576964143
549	0.9376256577	0.8575823744
550	0.9376671553	0.857297053
551	0.9376898662	0.8571408607
552	0.9377078932	0.8570168615
553	0.937730667	0.8568601863
554	0.9377599599	0.8566586195
555	0.9377723018	0.8565736793
556	0.9377984148	0.8563939362
557	0.9378258426	0.8562051015
558	0.9378676088	0.8559174705
559	0.937884498	0.8558011319
560	0.9379079511	0.8556395535
561	0.9379354582	0.8554500064
562	0.937961666	0.8552693733
563	0.9379918967	0.8550609653
564	0.9380202708	0.8548653105
565	0.9380486022	0.8546699055
566	0.9380734379	0.8544985739
567	0.9381122431	0.854230804
568	0.9381383421	0.8540506634
569	0.9381679021	0.8538465895
570	0.938203298	0.8536021614
571	0.9382397236	0.8533505495
572	0.9382596465	0.8532128994
573	0.938289623	0.8530057462
574	0.9383088646	0.8528727501
575	0.9383338429	0.8527000714
576	0.938345539	0.8526192031
577	0.9383724257	0.8524332747
578	0.9383874724	0.8523292053
579	0.93842059	0.8521001053
580	0.9384506532	0.8518920813
581	0.9384708316	0.8517524271
582	0.9384975361	0.8515675705
583	0.9385185034	0.851422401
584	0.9385343975	0.8513123399
585	0.9385694382	0.8510696444
586	0.9386129837	0.8507679472
587	0.9386458475	0.8505401859
588	0.938675497	0.8503346482
589	0.9387107604	0.8500901294
590	0.9387353934	0.8499192807
591	0.9387562816	0.849774378
592	0.9387688477	0.8496871944
593	0.9387878356	0.8495554398
594	0.938810859	0.849395655
595	0.9388357114	0.8492231437
596	0.9388856068	0.8488766921
597	0.9389093103	0.8487120552
598	0.9389329488	0.8485478388
599	0.9389694936	0.8482938998
600	0.9390006222	0.8480775356
601	0.9390204454	0.8479397234
602	0.9390493787	0.8477385359
603	0.9390716667	0.8475835243
604	0.9390848621	0.8474917377
605	0.9391309315	0.8471712031
606	0.9391606637	0.8469642721
607	0.9391880472	0.8467736435
608	0.9392045784	0.8466585416
609	0.9392275328	0.846498691
610	0.9392476256	0.8463587434
611	0.9392671771	0.8462225436
612	0.9392899898	0.8460635984
613	0.9393096417	0.8459266509
614	0.9393270757	0.8458051411
615	0.9393559061	0.8456041636
616	0.9393743573	0.8454755147
617	0.9394006855	0.8452919107
618	0.9394230732	0.8451357546
619	0.9394483538	0.8449593856
620	0.9394714494	0.8447982284
621	0.9394818597	0.8447255768
622	0.9395083101	0.8445409564
623	0.9395257352	0.8444193094
624	0.939557529	0.8441973071
625	0.9395777174	0.8440563099
626	0.9395998991	0.8439013647
627	0.9396234127	0.8437370843
628	0.939644801	0.8435876248
629	0.9396725398	0.8433937492
630	0.9396927572	0.8432524153
631	0.9397091332	0.843137918
632	0.9397325184	0.8429743864
633	0.9397485461	0.8428622878
634	0.9397800614	0.8426418237
635	0.9398139473	0.8424047124
636	0.9398337836	0.8422658797
637	0.9398696753	0.8420146185
638	0.939897229	0.8418216772
639	0.9399260629	0.8416197236
640	0.9399404629	0.8415188478
641	0.9399555132	0.841413403
642	0.9399652163	0.8413454147
643	0.9399944988	0.8411402025
644	0.9400177828	0.8409769929
645	0.940047814	0.8407664411
646	0.9400614987	0.8406704788
647	0.9400789817	0.8405478652
648	0.9401031055	0.840378649
649	0.9401218777	0.8402469476
650	0.9401490767	0.8400560893
651	0.9401725992	0.8398909942
652	0.9401849106	0.8398045731
653	0.9402077159	0.8396444642
654	0.9402331251	0.8394660387
655	0.9402572989	0.8392962528
656	0.9402896436	0.8390690243
657	0.9403154227	0.8388878769
658	0.9403440975	0.838686335
659	0.9403569954	0.8385956661
660	0.9403788777	0.8384418168
661	0.9404011731	0.8382850339
662	0.94043362	0.8380568125
663	0.9404512553	0.8379327455
664	0.940479784	0.837732002
665	0.9405029635	0.8375688636
666	0.9405215776	0.8374378336
667	0.9405411208	0.8373002414
668	0.9405558364	0.8371966219
669	0.940579573	0.8370294554
670	0.9405951546	0.8369197022
671	0.940617847	0.8367598373
672	0.9406532875	0.836510102
673	0.9406795678	0.8363248671
674	0.9406973855	0.8361992571
675	0.9407213566	0.8360302375
676	0.9407529984	0.8358070791
677	0.940768427	0.8356982448
678	0.9408053142	0.8354379839
679	0.9408247264	0.8353009866
680	0.940850696	0.8351176768
681	0.940873767	0.8349547934
682	0.940889689	0.8348423637
683	0.9409239162	0.8346006254
684	0.9409441916	0.8344573924
685	0.9409653561	0.8343078519
686	0.9409932515	0.8341107131
687	0.9410195419	0.8339248735
688	0.9410400801	0.8337796661
689	0.9410676252	0.8335848788
690	0.9410864469	0.8334517543
691	0.9411045765	0.8333235045
692	0.9411276754	0.8331600729
693	0.9411450285	0.8330372734
694	0.9411688921	0.8328683724
695	0.9411968118	0.8326707207
696	0.9412157301	0.8325367652
697	0.9412459911	0.8323224506
698	0.9412654248	0.8321847887
699	0.9412797878	0.8320830307
700	0.9413045844	0.8319073242
701	0.9413299923	0.8317272482
702	0.9413464251	0.8316107611
703	0.9413716418	0.8314319768
704	0.9413867876	0.8313245755
705	0.9414210305	0.8310817027
706	0.9414466957	0.8308996213
707	0.9414678626	0.8307494235
708	0.941491074	0.8305846874
709	0.9415039527	0.8304932702
710	0.9415249796	0.830343993
711	0.9415529321	0.8301455062
